#;Pohlavi;Vek;Vekova_kategorie;Novelty_seeking
1;1;22;21-22;40
11;1;23;23-24;33
27;0;22;21-22;43
33;1;29;25+;31
36;0;24;23-24;30
40;0;24;23-24;32
48;0;20;18-20;28
56;0;20;18-20;35
59;0;20;18-20;32
82;0;24;23-24;40
83;1;23;23-24;37
86;1;20;18-20;39
118;0;21;21-22;30
141;0;21;21-22;33
155;0;23;23-24;27
157;0;20;18-20;37
166;0;20;18-20;27
197;1;19;18-20;35
205;0;20;18-20;33
210;0;21;21-22;23
222;0;21;21-22;32
235;1;20;18-20;32
237;1;22;21-22;33
247;1;20;18-20;34
254;1;20;18-20;41
259;0;27;25+;33
266;0;21;21-22;32
274;0;23;23-24;35
275;0;22;21-22;39
318;0;22;21-22;34
323;0;22;21-22;38
329;0;23;23-24;29
334;0;22;21-22;34
344;0;24;23-24;34
347;0;23;23-24;37
351;0;20;18-20;29
361;0;20;18-20;41
367;0;22;21-22;36
375;0;21;21-22;24
384;0;19;18-20;23
386;0;20;18-20;26
404;1;25;25+;33
409;0;23;23-24;31
419;1;23;23-24;24
442;0;23;23-24;33
453;0;25;25+;30
455;0;19;18-20;25
458;0;21;21-22;38
460;0;20;18-20;40
461;0;19;18-20;36
465;1;21;21-22;35
474;0;23;23-24;40
503;0;24;23-24;38
510;0;20;18-20;28
513;0;20;18-20;31
515;0;28;25+;37
516;0;22;21-22;43
520;0;23;23-24;38
522;0;21;21-22;29
526;1;22;21-22;31
537;0;20;18-20;42
538;0;23;23-24;27
543;1;21;21-22;34
555;0;21;21-22;43
558;0;34;25+;24
570;0;21;21-22;27
574;0;21;21-22;26
584;1;39;25+;33
590;1;22;21-22;30
597;0;22;21-22;29
598;1;24;23-24;33
611;1;20;18-20;25
621;0;23;23-24;30
632;0;19;18-20;36
633;0;23;23-24;34
649;0;22;21-22;29
672;0;24;23-24;35
676;0;20;18-20;30
688;0;21;21-22;34
710;0;21;21-22;33
715;0;20;18-20;40
724;1;21;21-22;43
726;0;22;21-22;38
732;0;20;18-20;25
752;0;23;23-24;27
763;0;20;18-20;37
766;0;20;18-20;39
767;0;28;25+;29
775;0;19;18-20;35
780;0;26;25+;22
788;0;20;18-20;23
793;0;48;25+;33
798;1;20;18-20;35
799;0;20;18-20;38
802;0;22;21-22;39
822;0;31;25+;34
836;0;23;23-24;30
839;0;26;25+;42
840;0;21;21-22;38
848;0;25;25+;27
849;0;23;23-24;35
858;1;24;23-24;37
859;0;24;23-24;31
864;1;23;23-24;36
874;1;22;21-22;32
893;0;20;18-20;22
897;0;20;18-20;39
902;0;23;23-24;33
905;0;22;21-22;35
908;0;23;23-24;38
923;0;21;21-22;26
931;0;26;25+;38
937;0;24;23-24;35
941;0;19;18-20;20
942;1;24;23-24;44
958;0;23;23-24;30
960;0;22;21-22;28
967;0;26;25+;29
968;0;24;23-24;41
988;1;25;25+;41
