#;Pohlavi;EQ;SQ;AQ
1;1;30;46;20
11;1;53;45;8
27;0;50;14;13
33;1;51;50;17
36;0;55;31;13
40;0;40;24;15
48;0;39;22;16
56;0;44;19;10
59;0;45;32;28
82;0;55;37;35
83;1;18;42;22
86;1;42;22;25
118;0;30;25;16
141;0;52;24;14
155;0;40;12;12
157;0;36;22;25
166;0;34;20;19
197;1;24;32;20
205;0;38;29;20
210;0;19;33;25
222;0;55;14;9
235;1;27;29;14
237;1;31;41;25
247;1;33;34;21
254;1;33;40;17
259;0;48;10;8
266;0;43;22;9
274;0;41;9;6
275;0;48;21;25
318;0;59;37;13
323;0;26;39;30
329;0;41;30;18
334;0;43;17;23
344;0;39;23;17
347;0;47;40;5
351;0;32;19;15
361;0;51;37;16
367;0;33;8;16
375;0;23;16;23
384;0;32;15;20
386;0;53;20;12
404;1;21;51;18
409;0;43;18;11
419;1;16;42;30
442;0;13;12;28
453;0;37;20;17
455;0;41;27;12
458;0;35;35;27
460;0;62;21;11
461;0;44;31;15
465;1;42;29;13
474;0;37;23;15
503;0;42;30;14
510;0;45;15;23
513;0;31;40;19
515;0;30;43;19
516;0;47;35;9
520;0;44;22;17
522;0;41;19;9
526;1;31;32;30
537;0;32;37;10
538;0;25;18;21
543;1;29;36;24
555;0;49;47;16
558;0;44;22;13
570;0;46;11;12
574;0;22;28;31
584;1;32;43;25
590;1;33;35;11
597;0;18;17;16
598;1;39;33;15
611;1;28;20;33
621;0;35;21;21
632;0;50;12;11
633;0;24;25;20
649;0;35;21;20
672;0;21;15;26
676;0;36;27;23
688;0;46;28;8
710;0;33;15;8
715;0;38;30;11
724;1;21;50;28
726;0;50;36;13
732;0;43;16;16
752;0;32;14;20
763;0;52;42;11
766;0;45;40;24
767;0;19;20;34
775;0;45;10;14
780;0;38;30;16
788;0;23;28;34
793;0;48;15;13
798;1;32;31;21
799;0;47;32;10
802;0;35;31;22
822;0;36;31;9
836;0;31;26;16
839;0;60;28;12
840;0;52;41;11
848;0;46;28;25
849;0;35;17;21
858;1;52;52;31
859;0;33;13;33
864;1;40;34;16
874;1;20;30;21
893;0;36;20;12
897;0;31;20;7
902;0;42;19;11
905;0;43;38;21
908;0;40;17;7
923;0;20;17;31
931;0;35;19;16
937;0;33;16;16
941;0;31;18;18
942;1;54;44;14
958;0;43;28;17
960;0;32;13;17
967;0;43;35;11
968;0;37;47;15
988;1;41;50;12
