#;Pohlavi;Neuroticismus;Extraverze;Otevrenost_vuci_zkusenosti;Privetivost;Svedomitost;RSES
1;1;29;38;40;29;27;17
11;1;2;43;33;26;44;19
27;0;31;44;43;42;34;18
33;1;10;34;31;40;38;24
36;0;10;33;30;42;42;20
40;0;21;31;32;35;36;21
48;0;16;32;28;25;38;16
56;0;21;37;35;41;27;16
59;0;32;23;32;30;36;12
82;0;26;30;40;39;28;17
83;1;23;20;37;20;24;15
86;1;42;36;39;31;30;14
118;0;38;28;30;30;24;12
141;0;21;35;33;32;33;16
155;0;24;15;27;35;26;15
157;0;45;30;37;19;19;14
166;0;17;40;27;25;36;23
197;1;21;26;35;32;27;17
205;0;30;29;33;32;32;23
210;0;31;21;23;20;28;13
222;0;20;33;32;42;35;23
235;1;34;27;32;17;24;13
237;1;30;33;33;25;17;16
247;1;20;33;34;21;37;31
254;1;29;27;41;23;40;21
259;0;28;39;33;33;17;15
266;0;16;42;32;26;32;22
274;0;15;36;35;31;29;26
275;0;41;11;39;33;31;20
318;0;6;37;34;34;26;19
323;0;25;26;38;25;35;12
329;0;14;44;29;39;33;23
334;0;41;18;34;35;19;19
344;0;24;25;34;29;35;13
347;0;16;37;37;32;36;21
351;0;12;41;29;28;17;23
361;0;24;28;41;30;37;16
367;0;38;23;36;23;19;12
375;0;33;16;24;24;20;21
384;0;41;29;23;25;30;14
386;0;34;46;26;35;40;15
404;1;12;32;33;24;26;27
409;0;33;27;31;31;22;20
419;1;21;27;24;36;17;24
442;0;34;25;33;21;35;20
453;0;27;45;30;29;36;24
455;0;29;34;25;28;22;14
458;0;31;22;38;31;39;15
460;0;33;15;40;40;9;7
461;0;34;31;36;31;32;15
465;1;12;24;35;32;40;29
474;0;35;39;40;29;23;9
503;0;33;24;38;28;24;13
510;0;37;17;28;23;25;14
513;0;19;30;31;29;37;22
515;0;15;37;37;31;39;26
516;0;36;32;43;25;29;14
520;0;21;22;38;26;34;19
522;0;27;39;29;33;36;15
526;1;14;24;31;29;30;22
537;0;39;38;42;19;21;20
538;0;27;33;27;31;26;23
543;1;16;33;34;36;21;19
555;0;41;36;43;28;32;13
558;0;17;41;24;35;36;24
570;0;42;34;27;29;31;11
574;0;35;25;26;24;34;20
584;1;27;21;33;23;31;26
590;1;18;36;30;24;30;24
597;0;21;31;29;13;28;19
598;1;17;32;33;40;28;16
611;1;24;23;25;34;25;18
621;0;25;32;30;25;28;31
632;0;18;35;36;37;32;26
633;0;30;16;34;24;28;14
649;0;25;27;29;38;39;23
672;0;27;20;35;25;35;15
676;0;14;21;30;20;41;24
688;0;20;44;34;26;25;19
710;0;21;30;33;31;15;17
715;0;18;36;40;32;29;18
724;1;31;24;43;19;36;16
726;0;31;29;38;28;40;20
732;0;15;32;25;30;35;22
752;0;19;27;27;30;33;16
763;0;16;36;37;35;41;19
766;0;30;29;39;26;26;14
767;0;33;15;29;19;17;9
775;0;39;23;35;29;39;4
780;0;24;16;22;35;33;16
788;0;45;10;23;35;19;19
793;0;28;24;33;39;30;11
798;1;31;24;35;27;31;24
799;0;34;31;38;24;20;15
802;0;24;32;39;31;39;24
822;0;14;33;34;42;23;26
836;0;32;33;30;28;16;22
839;0;30;34;42;42;44;14
840;0;26;37;38;32;31;19
848;0;34;17;27;36;40;16
849;0;31;34;35;25;43;18
858;1;29;20;37;32;37;10
859;0;41;27;31;28;27;17
864;1;22;36;36;31;32;19
874;1;7;42;32;22;43;22
893;0;23;31;22;26;22;21
897;0;16;38;39;36;30;29
902;0;30;33;33;27;32;13
905;0;32;13;35;34;32;20
908;0;13;28;38;32;27;22
923;0;43;11;26;22;28;12
931;0;24;31;38;32;30;18
937;0;24;24;35;27;24;21
941;0;29;31;20;26;26;13
942;1;19;37;44;36;31;20
958;0;16;40;30;29;32;19
960;0;17;43;28;33;37;17
967;0;22;37;29;38;33;20
968;0;19;34;41;21;34;18
988;1;28;32;41;39;37;22
