#;S1;S2;S3;W1;W2;W3;W4;W5
1;20;46;30;44;38;37;28;29
27;13;14;50;49;42;30;19;39
36;13;31;55;42;33;12;13;12
40;15;24;40;42;31;18;21;20
48;16;22;39;44;38;13;28;14
59;28;32;45;36;35;17;16;28
82;35;37;55;39;27;39;21;27
86;25;22;42;38;26;17;11;18
118;16;25;30;39;25;21;18;21
141;14;24;52;45;46;17;19;24
157;25;22;36;37;39;30;27;39
166;19;20;34;39;26;11;30;11
205;20;29;38;38;41;33;17;27
210;25;33;19;33;25;18;25;24
222;9;14;55;45;42;22;11;29
237;25;41;31;36;38;13;22;23
247;21;34;33;38;48;24;24;18
254;17;40;33;47;33;10;27;28
266;9;22;43;44;41;26;28;31
318;13;37;59;42;41;13;30;27
323;30;39;26;41;41;37;26;23
329;18;30;41;38;40;41;27;22
344;17;23;39;40;34;19;17;24
347;5;40;47;49;41;27;32;31
351;15;19;32;44;35;12;31;15
367;16;8;33;38;33;35;16;30
375;23;16;23;23;11;10;10;17
384;20;15;32;35;28;29;16;24
404;18;51;21;45;46;13;33;19
409;11;18;43;39;34;40;17;33
419;30;42;16;38;30;17;34;19
442;28;12;13;36;45;29;24;17
453;17;20;37;42;44;24;11;19
455;12;27;41;39;30;23;31;27
458;27;35;35;41;48;28;26;32
465;13;29;42;43;38;30;21;22
474;15;23;37;43;37;41;23;35
503;14;30;42;42;40;30;25;36
510;23;15;45;39;27;24;20;29
515;19;43;30;37;41;21;18;33
516;9;35;47;45;42;32;24;42
520;17;22;44;38;38;35;18;30
522;9;19;41;50;37;24;21;22
526;30;32;31;45;43;27;30;27
538;21;18;25;41;30;14;9;12
543;24;36;29;44;27;28;39;25
558;13;22;44;43;39;22;21;21
574;31;28;22;35;30;12;29;21
584;25;43;32;39;45;20;40;36
590;11;35;33;39;33;37;30;31
597;16;17;18;39;32;12;23;26
598;15;33;39;35;39;14;38;15
611;33;20;28;32;24;18;16;21
621;21;21;35;42;27;36;23;32
632;11;12;50;38;43;17;16;23
633;20;25;24;32;31;27;35;37
649;20;21;35;35;39;13;14;20
672;26;15;21;42;36;18;14;30
715;11;30;38;47;35;18;15;32
724;28;50;21;31;40;20;30;33
752;20;14;32;36;33;20;15;25
763;11;42;52;47;47;42;28;41
766;24;40;45;47;33;26;27;34
767;34;20;19;24;20;16;23;23
780;16;30;38;36;29;26;31;30
788;34;28;23;24;19;12;25;18
793;13;15;48;39;29;21;22;22
798;21;31;32;41;32;29;23;29
799;10;32;47;41;43;34;17;28
802;22;31;35;49;25;44;33;36
822;9;31;36;43;30;34;31;29
836;16;26;31;37;35;21;19;28
839;12;28;60;47;43;28;18;38
840;11;41;52;46;38;26;20;32
849;21;17;35;39;35;12;11;23
858;31;52;52;37;29;24;29;29
859;33;13;33;37;22;11;15;15
893;12;20;36;49;23;33;11;22
897;7;20;31;40;36;36;32;34
902;11;19;42;44;27;29;22;26
905;21;38;43;37;33;22;21;22
908;7;17;40;42;37;33;18;33
923;31;17;20;38;30;14;19;33
931;16;19;35;50;33;30;30;20
941;18;18;31;40;34;21;18;15
942;14;44;54;38;40;39;32;32
958;17;28;43;39;30;18;21;16
960;17;13;32;45;33;28;16;34
968;15;47;37;49;55;47;34;45
988;12;50;41;39;47;24;32;21
